DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
7209,290.3707931,37.90740271,16.886,0.014,15.368,0.01,14.774,0.009,14.593,0.013,14.509,0.016
6638,290.3708095,37.89162273,18.883,0.023,17.453,0.009,16.822,0.008,16.61,0.019,16.495,0.018
4051,290.3708137,37.82813707,99.999,9.999,21.433,0.048,20.011,0.035,19.251,0.035,18.925,0.063
4738,290.3708198,37.843753,99.999,9.999,21.248,0.038,19.713,0.015,19.02,0.018,18.639,0.04
3636,290.3709415,37.81859837,22.455,0.327,22.099,0.074,21.679,0.107,21.451,0.089,99.999,9.999
6358,290.3710156,37.88390482,22.242,0.274,20.878,0.037,20.292,0.034,20.086,0.041,20.048,0.167
9282,290.3710336,37.96733346,99.999,9.999,22.529,0.117,21.395,0.071,20.798,0.05,20.233,0.169
8099,290.3710636,37.93229338,19.336,0.028,17.729,0.013,17.011,0.015,16.747,0.016,16.579,0.021
6331,290.3711134,37.88326586,20.711,0.093,18.825,0.016,18.09,0.01,17.87,0.012,17.775,0.032
8249,290.3711205,37.93673282,20.682,0.089,19.266,0.015,18.597,0.016,18.366,0.019,18.258,0.034
366,290.3712519,37.75626605,20.92,0.098,18.703,0.008,17.787,0.01,17.533,0.013,17.388,0.023
7128,290.3712577,37.90512909,16.008,0.012,14.272,0.008,13.595,0.011,99.999,9.999,13.294,0.022
6551,290.3712748,37.88899393,20.906,0.084,19.383,0.014,18.744,0.011,18.529,0.021,18.421,0.04
1657,290.3712756,37.77878156,99.999,9.999,20.504,0.026,19.067,0.014,18.474,0.016,18.135,0.026
5709,290.3713025,37.86659289,99.999,9.999,22.371,0.122,20.803,0.038,19.899,0.029,19.387,0.098
7522,290.3713525,37.91597859,99.999,9.999,22.312,0.09,20.855,0.043,20.277,0.03,19.959,0.206
7266,290.371479,37.9087031,99.999,9.999,21.81,0.073,20.244,0.031,19.326,0.02,18.73,0.056
4032,290.3714877,37.82738495,21.995,0.24,20.83,0.03,20.033,0.025,19.738,0.035,19.516,0.095
5259,290.3715175,37.85604882,20.088,0.049,18.294,0.011,17.584,0.008,17.388,0.011,17.262,0.025
5236,290.3715277,37.85549278,22.034,0.243,20.83,0.038,19.923,0.027,19.605,0.029,19.519,0.118
6920,290.3715861,37.89891218,99.999,9.999,21.296,0.04,20.458,0.029,20.23,0.039,20.03,0.159
10034,290.3716249,37.99008446,21.657,0.205,19.011,0.013,17.787,0.01,17.337,0.008,17.082,0.015
834,290.3716496,37.76408663,99.999,9.999,23.087,0.222,21.066,0.05,19.943,0.037,19.534,0.1
4812,290.3716608,37.84512319,99.999,9.999,22.513,0.11,20.898,0.044,19.945,0.034,19.357,0.102
1396,290.3716791,37.77423573,20.887,0.095,19.214,0.013,18.548,0.009,18.321,0.015,18.241,0.043
10046,290.3717315,37.99034221,21.66,0.206,19.992,0.026,19.402,0.032,19.08,0.025,19.055,0.066
7631,290.371739,37.91901501,99.999,9.999,23.207,0.202,21.712,0.086,20.79,0.061,20.309,0.229
3924,290.3717513,37.82501787,21.959,0.226,20.579,0.022,20.048,0.018,19.837,0.03,19.963,0.129
6674,290.3718515,37.89217162,99.999,9.999,20.989,0.033,20.391,0.037,20.112,0.034,19.899,0.158
10104,290.3718698,37.99189607,21.71,0.186,20.123,0.02,19.47,0.018,19.198,0.02,19.033,0.068
8797,290.371953,37.95191846,20.251,0.061,18.992,0.017,18.686,0.016,18.645,0.019,18.665,0.052
6304,290.3720981,37.88238931,99.999,9.999,99.999,9.999,21.889,0.094,20.46,0.068,19.596,0.112
3800,290.3721046,37.82189487,21.739,0.17,20.473,0.025,19.767,0.02,19.535,0.022,19.374,0.079
692,290.3721196,37.76157369,99.999,9.999,22.048,0.079,21.222,0.058,21.029,0.065,99.999,9.999
9441,290.3721289,37.97209233,99.999,9.999,22.843,0.149,21.078,0.044,20.474,0.049,20.224,0.208
5296,290.3721441,37.85655592,99.999,9.999,21.717,0.068,20.824,0.043,20.46,0.051,20.309,0.232
5334,290.3721545,37.85735919,99.999,9.999,23.209,0.22,21.586,0.071,20.78,0.063,20.193,0.207
2580,290.3723279,37.79673506,22.143,0.256,19.621,0.015,18.786,0.011,18.513,0.015,18.476,0.046
1240,290.3723501,37.77091786,22.126,0.294,20.411,0.027,19.772,0.022,19.565,0.023,19.464,0.092
8155,290.3724011,37.93351887,99.999,9.999,23.352,0.267,21.61,0.079,20.815,0.063,20.21,0.17
1477,290.3725417,37.77524297,99.999,9.999,23.46,0.297,21.949,0.085,20.992,0.071,20.662,0.289
8802,290.3726978,37.95171604,19.398,0.031,17.671,0.014,16.936,0.011,16.654,0.012,16.511,0.012
3794,290.3727612,37.8215079,20.689,0.066,18.741,0.011,18.018,0.01,17.822,0.012,17.71,0.028
5830,290.3727711,37.86936697,22.059,0.238,19.276,0.018,18.056,0.008,17.618,0.011,17.347,0.023
5814,290.3727746,37.86882014,22.065,0.237,19.891,0.023,18.961,0.013,18.664,0.018,18.434,0.04
9924,290.372943,37.98600889,22.33,0.318,99.999,9.999,22.065,0.133,20.77,0.068,19.963,0.165
5185,290.3729867,37.85360636,20.855,0.084,18.926,0.014,18.189,0.01,17.942,0.014,17.845,0.031
7539,290.3730064,37.91580353,99.999,9.999,23.202,0.204,21.658,0.074,20.728,0.057,20.011,0.154
